"id","__typename","_lastChangedAt","_version","createdAt","description","duration","generationSettings","imageSettings","name","numPlayers","owner","updatedAt"
"a5b70a9b-b44b-4c86-82d6-0a27336b6010","Campaign","1730342940332","1","2024-10-31T02:49:00.309Z","","0","","","Tomb of annihilation","4","b19be540-20e1-702a-29c8-c41b308045fb::rwtibbitts","2024-10-31T02:49:00.309Z"
"10c861d1-3db4-4e05-8a77-6e6aebfeae21","Campaign","1752866475052","1","2025-07-18T19:21:15.030Z","","","{""includeCharacterQuotes"":{""BOOL"":true},""selectedTones"":{""L"":[{""S"":""Epic""}]},""contentLength"":{""N"":""0.7723429799079895""},""selectedEmphases"":{""L"":[{""S"":""Combat""}]},""contentStyle"":{""N"":""0.7759661674499512""},""includeGameMechanics"":{""BOOL"":false}}","{""selectedStyle"":{""S"":""fantasy""}}","New test campaign","","b19be540-20e1-702a-29c8-c41b308045fb::rwtibbitts","2025-07-18T19:21:15.030Z"
"d61bd7d2-d2d3-4ad2-a07f-d92bca37a02d","Campaign","1728140504026","1","2024-10-05T15:01:43.993Z","","0","","","Test campaign","4","b19be540-20e1-702a-29c8-c41b308045fb::rwtibbitts","2024-10-05T15:01:43.993Z"
"42570fe7-b625-4d34-9867-a55294821224","Campaign","1753755648382","2","2025-07-29T02:03:04.280Z","","","{""includeCharacterQuotes"":{""BOOL"":true},""selectedTones"":{""L"":[{""S"":""Epic""}]},""contentLength"":{""N"":""1""},""selectedEmphases"":{""L"":[]},""contentStyle"":{""N"":""0.7276569604873657""},""includeGameMechanics"":{""BOOL"":false}}","{""selectedStyle"":{""S"":""fantasy""}}","New new final-finalV2","","b19be540-20e1-702a-29c8-c41b308045fb::rwtibbitts","2025-07-29T02:20:48.344Z"
